Circuit: * Z:\home\peter\repos\pwm-charge-controller\ltspice\pwm5.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.20486e-005 to 3.20488e-005
Heightened Def Con from 3.20488e-005 to 3.20488e-005
Heightened Def Con from 3.20488e-005 to 3.20488e-005
Heightened Def Con from 3.20488e-005 to 3.20508e-005
Heightened Def Con from 3.20508e-005 to 3.20508e-005
Heightened Def Con from 3.20508e-005 to 3.20508e-005
Heightened Def Con from 3.20508e-005 to 3.20519e-005
Heightened Def Con from 3.20528e-005 to 3.20528e-005
Heightened Def Con from 3.20528e-005 to 3.20538e-005
Heightened Def Con from 3.20538e-005 to 3.20539e-005
Heightened Def Con from 3.20539e-005 +to 3.20549e-005
Heightened Def Con from 3.20549e-005 to 3.20549e-005
Heightened Def Con from 3.20549e-005 +to 3.2055e-005
Heightened Def Con from 3.2055e-005 to 3.2057e-005
Heightened Def Con from 3.2058e-005 to 3.20591e-005
Heightened Def Con from 3.20594e-005 to 3.20594e-005
Heightened Def Con from 3.20594e-005 +to 3.20614e-005
Heightened Def Con from 3.20618e-005 to 3.20618e-005
Heightened Def Con from 3.20618e-005 to 3.20618e-005
Heightened Def Con from 3.20618e-005 to 3.20618e-005
Heightened Def Con from 3.20618e-005 to 3.20618e-005
Heightened Def Con from 3.20618e-005 to 3.20619e-005
Heightened Def Con from 3.20619e-005 to 3.20619e-005
Heightened Def Con from 3.20619e-005 to 3.20639e-005
Heightened Def Con from 3.20661e-005 to 3.20681e-005
Heightened Def Con from 3.20694e-005 to 3.20704e-005
Heightened Def Con from 3.20704e-005 to 3.20724e-005
Heightened Def Con from 3.20738e-005 to 3.20758e-005
Heightened Def Con from 3.20882e-005 to 3.20892e-005
Heightened Def Con from 3.20893e-005 to 3.20913e-005
Heightened Def Con from 3.20937e-005 to 3.20957e-005
Heightened Def Con from 3.21002e-005 to 3.21003e-005
Heightened Def Con from 3.21003e-005 to 3.21004e-005
Heightened Def Con from 3.21004e-005 to 3.21004e-005
Heightened Def Con from 3.21004e-005 +to 3.21024e-005
Heightened Def Con from 3.21024e-005 to 3.21035e-005
Heightened Def Con from 3.21053e-005 to 3.21064e-005
Heightened Def Con from 3.21081e-005 to 3.21081e-005
Heightened Def Con from 3.21081e-005 to 3.21092e-005
Heightened Def Con from 3.21092e-005 to 3.21092e-005
Heightened Def Con from 3.21092e-005 to 3.21122e-005
Heightened Def Con from 3.21122e-005 to 3.21122e-005
Heightened Def Con from 3.21122e-005 +to 3.21133e-005
Heightened Def Con from 3.21133e-005 to 3.21133e-005
Heightened Def Con from 3.21133e-005 to 3.21133e-005
Heightened Def Con from 3.21133e-005 to 3.21133e-005
Heightened Def Con from 3.21133e-005 to 3.21143e-005
Heightened Def Con from 3.21143e-005 to 3.21163e-005
Heightened Def Con from 3.21165e-005 to 3.21185e-005
Heightened Def Con from 3.21194e-005 to 3.21194e-005
Heightened Def Con from 3.21194e-005 +to 3.21195e-005
Heightened Def Con from 3.21195e-005 to 3.21195e-005
Heightened Def Con from 3.21195e-005 to 3.21205e-005
Heightened Def Con from 3.21205e-005 to 3.21205e-005
Heightened Def Con from 3.21205e-005 +to 3.21235e-005
Heightened Def Con from 3.21255e-005 +to 3.21258e-005
Heightened Def Con from 3.21258e-005 to 3.21258e-005
Heightened Def Con from 3.21258e-005 to 3.21258e-005
Heightened Def Con from 3.21258e-005 to 3.21269e-005
Heightened Def Con from 3.21269e-005 to 3.21299e-005
Heightened Def Con from 3.21442e-005 to 3.21462e-005
Heightened Def Con from 3.21462e-005 to 3.21482e-005
Heightened Def Con from 3.21482e-005 to 3.21484e-005
Heightened Def Con from 3.21484e-005 to 3.21494e-005
Heightened Def Con from 3.21494e-005 to 3.21524e-005
Heightened Def Con from 3.21654e-005 to 3.21656e-005
Heightened Def Con from 3.21656e-005 to 3.21676e-005
